"FK_LAB_RESULT_ITEM_ID","LAB_RESULT_ITEM_CODE","LAB_RESULT_ITEM_DESCRIPTION","LOINC","""COUNT(1)"""
4859401,EER HIV Pheno,EER HIV Phenotype Comprehensive,"11526-1",47
4266028,ABSOLUTE CD4,C ABSOLUTE CD4,"24467-3",47
8763005,% NATURAL KILLER CELLS,C % NATURAL KILLER CELLS,"32519-1",47
8764008,% CD19,C % CD19,"8117-4",47
8765006,% CD45RO,C % CD45RO,"26573-6",47
11842370,"NORMETANEPHRINE, URINE - RATIO TO CRT","NORMETANEPHRINE,URINE - RATIO TO CRT (CCH)","44342-4",47
11916699,"ESTRONE, SERUM","ESTRONE, SERUM (LC)",,47
11919120,BORDETELLA PARAPERTUSSIS DNA,BORDETELLA PARAPERTUSSIS DNA (LC),,47
18035302,SEREE,STRESS ECHO RECOVERY EE,,47
227876,LDH BF Type,UNKNOWN item template,,47
289002,PROINSULIN,PROINSULIN,,47
4857775,N-Meth Volume,N-Methylhistamine Volume,"19153-6",47
159665,HEPATITIS A IGM,HEPATITIS A IGM,,47
4268029,ABSOLUTE CD19,C ABSOLUTE CD19,"15195-1",47
11841353,META UF INTERP,META UF INTERP (CCH),"49283-5",47
18038222,LBASAPAF,LEFT BASC AP ANT FOSSA,,47
19288004,Stem Cell Allogeneic Product ABSC Interp,Stem Cell Allogeneic Product ABSC Interp,,47
163191,SOMATOSTATIN,C SOMATOSTATIN,,47
228423,.Vancomycin Level Peak Start,Vancomycin Level Peak Start,,47
165729,ETHYLENE GLYCOL,C ETHYLENE GLYCOL,,47
4860268,Chromo Analy GZ,Chromo Analy Genzyme,,47
8764006,% CD45RA,C % CD45RA,"17157-9",47
11917993,RESULT 3,RESULT 3 (LC),,47
229630,Venogram Extremities Unilateral PMC,Venogram Extremities Unilateral PMC,,47
232357,.GI Bleeding Scan,GI Bleeding Scan,,46
16995006,SP 10A,Strep Pnemo Sero 10A,,46
17000004,SP 33F,Strep Pnemo Sero 33F,,46
237039,Cystogram PMC,Cystogram PMC,,46
160703,AMITRIP AND NORTRIP,AMITRIP AND NORTRIP,,46
4867134,SPONT AGG,Spont Aggre,,46
8766005,ABSOLUTE CD45RO,C ABSOLUTE CD45RO,"26570-2",46
16999004,SP 11A,Strep Pnemo Sero 11A,,46
159515,DATE PHENYTOIN GIVEN,DATE PHENYTOIN GIVEN,,46
170791,URINE ALDOSTERONE,C URINE ALDOSTERONE,"1765-7",46
226472,Rocky Mtn Spotted Fever-IgG,Rocky Mtn Spotted Fever-IgG,,46
4859793,nrRBCAgglu,RBCAgglu (Non Reportable),,46
8766004,LYMPHOCYTE SUBSET PANEL 7 INFO,C LYMPHOCYTE SUBSET PANEL 7 INFO,"48767-8",46
11842328,"HSV 1 AND 2 ANTIBODIES, IGM","HSV 1 AND 2 ANTIBODIES, IGM (CCH)","41399-7",46
11925054,DRVVT MIX,DRVVT MIX (LC),,46
11842164,"ALLERGEN, CLAM","ALLERGEN, CLAM (CCH)","6076-4",46
11844254,DRUG CONFIRMATION CANNABINOIDS - URINE,DRUG CONFIRMATION CANNABINOIDS - URINE (CCH),"14313-1",46
159588,SPECIMEN,SPECIMEN,,46
171174,LOW RISK HPV,LOW RISK HPV,,46
228432,Urine Phosphorus mg/dL,Urine Phosphorus mg/dL,,46
237402,.Art Extremety Uni,Art Extremety Uni,,46
10962004,EER LDL Sub,EER LDL Subclasses,,46
11844093,BI LOBED NEUTROPHILS,BI LOBED NEUTROPHILS (CCH),"18311-1",46
16997003,SP 19A,Strep Pnemo Sero 19A,,46
16998004,SP 15B,Strep Pnemo Sero 15B,,46
159866,HIGH RISK HPV,HIGH RISK HPV,"49896-4",46
2314001,"VALPROIC ACID, TOTAL","C VALPROIC ACID,TOTAL","4086-5",46
3553002,"COPPER, 24 HOUR URINE","Q COPPER, 24 HOUR U*",,46
343001,PROSTATE SPECIFIC ANTIGEN FREE,PROSTATE SPECIFIC AG FREE,"10886-0",46
9793003,"3 HOUR GLUCOSE TOLERANCE - FASTING",C 3HR GLUCOSE GESTATIONAL FASTING,"1558-6",46
11843327,"HSV 1 AND 2 ANTIBODIES, IGG","HSV 1 AND 2 ANTIBODIES, IGG (CCH)","27948-9",46
11917163,HPV DNA (HIGH RISK),HPV DNA (HIGH RISK) (Q),,46
16997006,SP 20,Strep Pnemo Sero 20,,46
16998006,SP 17F,Strep Pnemo Sero 17F,,46
164001,TOTAL STOOL WEIGHT,C TOTAL STOOL WEIGHT,,46
237031,.Mandible Complete 4+ Views HUP,Mandible Complete 4+ Views HUP,,46
239257,Bone Scan Limited Area HUP,Bone Scan Limited Area HUP,,46
2313001,VPA % FREE,C VPA % FREE,"32283-4",46
4857914,Post Ab Scrn Interp,Post Antibody Screen ECHO Interpretation,,46
171659,APOLIPOPROTEIN B,APOLIPOPROTEIN B,,46
8765009,% CD2,C % CD2,"20594-8",46
9687017,TV UHISTA,TV UHISTA,"19153-6",46
11702003,C ABORH TXP CONFIRM INTERP,C SERINE PROTEASE 3,,46
16998003,SP 22F,Strep Pnemo Sero 22F,,46
18038269,PVA,PV VALVE AREA,,46
19287004,StemCell Allogeneic Product ABORh Interp,StemCell Allogeneic Product ABORh Interp,,46
170895,MISCELLANEOUS SEND O,MISCELLANEOUS SEND O,,46
235163,.Abdominal Aortogram,Abdominal Aortogram,,46
2317001,"VALPROIC ACID, FREE","C VALPROIC ACID, FREE","4087-3",46
9055006,HHV-8 DNA Quant,HHV-8 DNA Quant,"32364-2",46
9979006,MPL CODON 515 RESULTS,MPL CODON 515 RESULTS,"58009-2",46
16995005,SP 2,Strep Pnemo Sero 2,,46
164307,LAB,LAB,,46
227472,Rocky Mtn Spotted Fever-IgM,Rocky Mtn Spotted Fever-IgM,,46
228822,Linezolid MIC,Linezolid MIC,,46
8766006,% HLA-DR,C % HLA-DR,"32751-0",46
11923795,CEPHALOSPORIUM,M202-IGE ACREMONIUM KILIENSE (LC),,46
11841333,"IMMUNOGLOBULIN G, CSF","IMMUNOGLOBULIN G, CSF (CCH)","2465-3",46
1407033,SCREEN,Q SCREEN:,,46
163176,HAEMOPHILUS INFLUENZ,HAEMOPHILUS INFLUENZ,,45
18033223,RBASAPFAM,RIGHT BASC AP FA MID,,45
1414023,Q CLASS,Q CLASS,"15649-7",45
8480021,HLA LRC,HLA LRC,"13302-5",45
8763006,ABSOLUTE CD45RA,C ABSOLUTE CD45RA,"26759-1",45
11844333,IGG INDEX,IGG INDEX (CCH),"14117-6",45
16506017,nRBC SCBM,Nucleated RBC SCBM Diff,,45
226248,Hemoglobin C,MCODES_Hemoglobin C Result,,45
239198,.RIIAP,UNKNOWN item template,,45
228477,WBC Screen,WBC Screen,,45
1410117,"Q C4 BINDING PROTEIN, PLASMA","Q C4 BINDING PROTEIN,  PLASMA",,45
4270014,ALPHA 2 GLOBULIN,C ALPHA 2 GLOBULIN,"2868-8",45
10258005,DOLUTEGRAVIR RESISTANCE,DOLUTEGRAVIR RESISTANCE,,45
11842233,ALBUMIN CSF,"ALBUMIN, CSF (CCH)","1746-7",45
228330,Antibody Hepatitis BE Antigen,Antibody Hepatitis BE Antigen,,45
232364,.Brucella,LEAN Brucella,,45
4858198,CA 15-3,CA 15-3,"6875-9",45
1411023,TOMATO (F25) IGE,Q TOMATO (F25) IGE,"6266-1",45
4860285,Cocaine blood,Cocaine blood,"14314-9",45
9258004,"6 TG","6 TG",,45
11841233,CSF ALBUMIN TO SERUM RATIO,ALBUMIN INDEX (CCH),"1756-6",45
11845333,CSF IGG SYNTHESIS RATE,CSF IGG SYNTHESIS RATE (CCH),"14116-8",45
18179033,ABD AORTA GRAFT OUTFLOW ARTERY,LEFT ABD AORTA GRAFT OUTFLOW ARTERY,,45
4862784,Normal Cell t(14;18) (Number of Cells),Normal Cell t(14;18) (Number of Cells),,45
8495004,"MEASLES ANTIBODY, (IGM)","Q MEASLES ANTIBODY, (IGM)",,45
11842324,HIV-1 RNA UPCR LOG (CPY/ML),HIV-1 RNA UPCR LOG (CPY/ML) (CCH),"20447-9",45
226222,Hepatitis BE Antigen,Hepatitis BE Antigen,,45
4859223,CD5-CD56/16+ (Abs Count),CD5-CD56/16+ (Abs Count),,45
4859784,Normal Cell t(14;18) (Interp),Normal Cell t(14;18) (Interp),,45
4859786,Normal Cell t(9;22) (Number of Cells),Normal Cell t(9;22) (Number of Cells),,45
9687006,Time 24h UHISTA,Time 24h Urine Histamine,"30211-7",45
11845233,ALBUMIN,"ALBUMIN, SERUM (NEPH) (CCH)","1751-7",45
230054,".CMV, Quantitative PCR","CMV, Quantitative PCR Expired",,45
237136,.Percutaneous Nephrostomy,Percutaneous Nephrostomy,,45
163965,TOTAL T CELLS,C TOTAL T CELLS,,45
4856781,Normal Cell BCL6 (% Cells),Normal Cell BCL6 (% Cells),,45
4265014,ALPHA 1 GLOBULIN,C ALPHA 1 GLOBULIN,"2865-4",45
8764004,ABSOLUTE HLA-DR,C ABSOLUTE HLA-DR,"33617-2",45
11841324,HIV-1 QNT BY PCR INTERP,HIV-1 QNT BY PCR INTERP (CCH),"24013-5",45
11914034,"CORTISOL, TOTAL","CORTISOL, TOTAL (Q)",,45
19063003,LEFT ANTERIOR ACCESSORY SV PROX THIGH DIAMETER,LEFT ANTERIOR ACCESSORY SV PROX THIGH DIAMETER,,45
1412022,COCONUT (F36) IGE,Q COCONUT (F36) IGE,"6081-4",45
11841322,HIV-1 QNT BY PCR (LOG COPY/ML),HIV-1 QNT BY PCR (LOG COPY/ML) (CCH),"29541-0",45
12367003,STRONGYLOIDES IGG ANTIBODY,STRONGYLOIDES IGG ANTIBODY (LC),,45
11843276,C1Q COMPLEMENT COMPONENT,C1Q COMPLEMENT COMPONENT (CCH),"4478-4",45
11845392,CSF IGG ALBUMIN RATIO,CSF IGG/ALBUMIN RATIO (CCH),"2470-3",45
159281,"VZV AB, IGG","VZV AB, IGG",,45
4858223,CD5+CD8+ (Abs Count),CD5+CD8+ (Abs Count),,45
4515020,TRIGLYCERIDES,C TRIGLYCERIDES LEVEL,,45
5027024,Ur Chlorpropam,Chlorpropamide Urine,"12396-8",45
8763009,ABSOLUTE CD2,C ABSOLUTE CD2,"9557-0",45
10665004,IMMUNOGLOBULIN D (IGD),IMMUNOGLOBULIN D (IGD),,45
11705022,"BLADDER CANCER, FISH","BLADDER CANCER, FISH (Q)",,45
1409068,Q INFLUENZA TYPE B ANTIBODY SERUM,Q INFLUENZA TYPE B ANTIBODY SERUM,,45
227371,Alpha 1 Antitrypsin Pheno,Alpha 1 Antitrypsin Pheno,,44
11844421,CORTISOL URINE FREE UG/L,"CORTISOL, URINE FREE UG/L (CCH)","34909-2",44
234720,Manganese Level,LEAN Manganese,,44
160552,PEMPHIGUS AB,C PEMPHIGUS AB,"42936-5",44
171871,"17-HYDROXYPROGESTERONE, LC/MS/MS","17-HYDROXYPROGESTERONE, LC/MS/MS",,44
4855780,Normal Cell 8 (Number of Cells),Normal Cell 8 (Number of Cells),,44
600002,COPROPORPH III CRT,C COPROPORPH III CRT,"45315-9",44
1408081,RMSF IGG,Q RMSF IGG,,44
1409079,"Q PROTEIN S, ACTIVITY","Q PROTEIN S, ACTIVITY",,44
11916650,"DONOR, SYPHILIS IGG AB","DONOR, SYPHILIS IGG AB (Q)",,44
11921746,TEST LIMITATIONS,TEST LIMITATIONS (LC),,44
11911066,IMMUNOGLOBULIN G,IMMUNOGLOBULIN G (Q),,44
11925736,HCV RNA QUALITATIVE PCR,HCV RNA NAA QUALITATIVE (LC),,44
11845273,CORTISOL URINE UG/G CRT,"CORTISOL, UG/G CRT (CCH)","32009-3",44
14765005,MYOSITIS PANEL INTERPRETIVE DATA,MYOSITIS PANEL INTERPRETIVE DATA (CCH),"48767-8",44
13917004,ZIKA VIRUS MAC-ELISA (EUA),ZIKA VIRUS MAC-ELISA (EUA),"80824-6",44
163398,DIG TIME,DIG TIME,,44
4856786,Normal Cell t(9;22) (Interp),Normal Cell t(9;22) (Interp),,44
599002,COPROPORPH I CRT,C COPROPORPH I CRT,"45313-4",44
5023026,Ur Acetohexamid,Acetohexamide Urine,"43626-1",44
5023027,Ur Tolbutamide,Tolbutamide Urine,"6952-6",44
8478004,HEMOGLOBIN S,C HGB S%,,44
11214007,Hgb client supplied,Hgb client supplied,"718-7",44
18210003,(gDNA).CFTR (Protein Name),(gDNA).CFTR (Protein Name),,44
228716,.9044917,UNKNOWN item template,,44
232815,"Sodium, Body Fluid","Sodium, Body Fluid PAH",,44
11844277,"24HR URINE CREATININE","CREATININE, URINE MG/DAY (CCH)","2162-6",44
11845244,"BARTONELLA HENSELAE AB, IGG","BARTONELLA HENSELAE AB, IGG (CCH)","6954-2",44
17165003,IGF1 SCORE CALCULATION,IGF1 SCORE CALCULATION,"73561-3",44
227092,Lithium Dose,Lithium Dose (prompt),,44
237129,Thiocyanate Level,MCODES_Thiocyanate Level,,44
239126,Rubella IgM,LEAN Rubella IgM,,44
235079,Barium Enema Single Contrast,Barium Enema Single Contrast PAH,,44
4860444,Fec Fat 48hr,Fec Fat 48hr,"16855-9",44
5025019,Ur Glipizide,Glipizide Urine,"6944-3",44
9195013,"VARICELLA-ZOSTER CSF, IGG AB","VARICELLA-ZOSTER CSF, IGG AB","58755-0",44
11841413,"TOXOPLASMA AB, IGG","TOXOPLASMA AB, IGG (CCH)","8039-0",44
11841282,CORTISOL URINE 24 HOUR,"CORTISOL, URINE, FREE (CCH)","2147-7",44
18037010,PULMONIC VALVE PHT,PULMONIC VALVE PHT,,44
228692,Western Blot.,Western Blot PAH,,44
226882,CD:4531249,UNKNOWN item template,,44
1411069,Q MUMPS VIRUS ANTIBODY (IGM),Q MUMPS VIRUS ANTIBODY (IGM),,44
1414082,RMSF IGM,Q RMSF IGM,,44
4858551,Hexos Interp,Hexosaminidase Interp,,44
11841431,"VZV AB, IGM","VZV AB, IGM (CCH)","5404-9",44
11844244,"BARTONELLA HENSELAE AB, IGM","BARTONELLA HENSELAE AB, IGM (CCH)","6955-9",44
11925559,TOTAL PLASMA HOMOCYS,HOMOCYSTEINE (LC),,44
16446003,"IGF-1, Z SCORE",IGF 1 Z SCORE CALCULATION,"73561-3",44
159886,"STRIATED MUSCLE AB,","C STRIA. AB, IGG TITER","29998-2",44
231732,"2 Hour Cyclosporine",LEAN 2 Hour Cyclosporine.,,44
1189002,CHOLESTEROL DIRECT LDL,Q LDL CHOLESTEROL,"2089-1",44
1414038,Q RESULT,Q RESULT:,,44
5030024,Ur Glyburide,Glyburide Urine,"6945-0",44
5030025,Ur Tolazamide,Tolazamide Urine,"6951-8",44
8523006,C %COHB,C %COHB,,44
10413003,ACE for Gaucher Disease,ACE for Gaucher Disease,,44
11843277,"24HR URINE CREATININE","CREATININE, URINE MG/DL (CCH)","20624-3",44
226092,Lithium Date,Lithium Date (prompt),,44
235237,.MRI Upper Ext Joint w&wo Gad HUP,MRI Upper Ext Joint w&wo Gad HUP,,44
226717,.9044919,UNKNOWN item template,,44
228763,Alb BF Type,Alb BF Type Result,,44
11912625,"PROBNP, N TERMINAL","PROBNP, N TERMINAL (Q)",,44
11844273,CORTISOL URINE INTERPRETATION,"CORTISOL,URINE INTERPRETATION (CCH)","56850-1",44
228092,Lithium Frequency,Lithium Frequency (prompt),,44
226512,.4010130,UNKNOWN item template,,43
11911049,CREATININE URINE,CREATININE URINE (Q),,43
11923959,DRUG SCREEN COMMENT,DRUG SCREEN COMMENT: (LC),,43
11925140,HSV-1 DNA,HSV-1 DNA (LC),,43
12140003,"VITAMIN D,25-OH,TOTAL,IA","VITAMIN D,25-OH,TOTAL,IA",,43
226520,Acanthocytes.,Acanthocytes. PAH,,43
228533,Basophilic Stippling.,Basophilic Stippling PAH,,43
159474,ABSOLUTE NUMBER TOTA,C ABSOLUTE NUMBER TOTA,,43
4861786,Normal Cell t(9;22) (% Cells),Normal Cell t(9;22) (% Cells),,43
1410146,"Q DONOR, HIV 1/HBV/HCV/NAT PROCLEIX(R) W/REFLEX","Q DONOR, HIV 1/HBV/HCV/NAT PROCLEIX(R) W/REFLEX",,43
4269014,GAMMA,C GAMMA,"2874-6",43
5027011,Felbamate Lvl,Felbamate Level,"6899-9",43
160578,EJECTION FRACTION (ECHO),EJECTION FRACTION (ECHO),,43
10257012,COMMENT,COMMENT:,,43
11925778,F201-IGE PECAN NUT,F201-IGE PECAN NUT (LC),,43
16734004,PTH FNA,"Parathyroid Hormone, Fine Needle Aspirate",,43
18035033,UPPER ARTERIAL RIGHT ARM MID BRACHIAL SYS MAX,UPPER ARTERIAL RIGHT ARM MID BRACHIAL SYS MAX,,43
226169,Lithium Time,Lithium Time (prompt),,43
4855530,HBV IU,HBV IU,,43
8026014,ACETAZOLAMIDE (U)$(DIAMOX),Q ACETAZOLAMIDE (U)$(DIAMOX),,43
9492004,CO2 VENOUS TOTAL CALC,TCO2 CALC VEN,"2027-1",43
11930085,RNA POLYMERASE III IGG ABS,RNA POLYMERASE III IGG ABS (LC),,43
8898006,CLOBAZAM,Q CLOBAZAM,,43
13614005,CHOLESTEROL HIGH DENSITY LIPOPROTEIN,HDL CHOLESTEROL,"2085-9",43
11921853,PHENYTOIN,PHENYTOIN (LC),"3968-5",43
16731004,PTH Conc,Parathyroid Hormone Concentration,,43
18033224,LBASAPFAP,LEFT BASC AP FA PROX,,43
165123,"ASIALO GM1 ANTIBODY,","C ASIALO GM1 ANTIBODY,","44737-5",43
1411072,STRIATED MUSCLE AB,Q STRIATED MUSCLE AB,,43
2917001,"IODINE, RANDOM URINE","Q IODINE, RANDOM URINE",,43
3823002,BULLOUS PEMPHIGOID BP230 IGG,Q BULLOUS PEMPHIGOID BP230 IGG,,43
4929013,DESMOGLEIN 1 ANTIBODY,Q DESMOGLEIN 1 ANTIBODY,,43
11921136,HSV-2 DNA,HSV-2 DNA (LC),,43
18034309,SEPETA,STRESS ECHO PEAK EXERCISE TAPSE,,43
234248,Hep B S Antigen Confirmation,LEAN Hep B S Antigen Confirmation,,43
234870,CT Maxillofacial with Contrast,CT Maxillofacial with Contrast PAH,,43
235102,MSERO Component,MSERO Component PAH,,43
2858003,THYROID PEROXIDASE ANTIBODY,Q THYROID PEROXIDASE AB,,43
18313016,UPHS CV LEFT DISTAL RADIAL ATERY,UPHS CV LEFT DISTAL RADIAL ATERY,,43
171167,"ASIALO GM1 ANTIBODY,","C ASIALO GM1 ANTIBODY,","44737-5",43
167116,N-DESETHLY AMIO,N-DESETHLY AMIO,,43
227862,CD:4493664,UNKNOWN item template,,43
1412148,"Q COCCIDIOIDES ANTIBODY, ID","Q COCCIDIOIDES ANTIBODY, ID",,43
3502002,T. SACCHARI,Q T. SACCHARI,,43
11705006,C RALDOS SAMPLE,C RALDOS SAMPLE,,43
11843400,SEROTONIN,SEROTONIN,"27057-9",43
11912580,SOURCE,SOURCE (Q),,43
18037021,FEMORAL ART AX FEM PSV,FEMORAL ART AX FEM PSV,,43
237445,Lung Scan Quant Diff Function VP HUP,Lung Scan Quant Diff Function VP HUP,,43
4860780,Normal Cell 8 (Interp),Normal Cell 8 (Interp),,43
4859146,Betamethasone,Betamethasone,"41745-1",43
11912551,"EBV DNA, QN PCR","EBV DNA, QN PCR (Q)","32585-2",43
11923121,"M-SPIKE, MG/24 HR","M-SPIKE, MG/24 HR (LC)",,43
18035289,ARVTI,AR VTI,,43
159355,AGGREGATION INTERPRE,AGGREGATION INTERPRE,,43
237297,Fetal Fibronectin Swab,MCODES_Fetal Fibronectin Swab HUP/PAH,,43
227857,CD:4493363,UNKNOWN item template,,43
4855123,ATIII IM PAH,ATIII Immunologic PAH,"27812-7",43
8479014,Toll-Like Receptor,Toll-Like Receptor,,43
9494004,O2 SAT VENOUS,O2SAT CALC VEN,"2711-0",43
227716,.9044921,UNKNOWN item template,,43
9657003,C FIBROSURE - ANALYSIS,C FIBROSURE - ANALYSIS,,42
9658004,C FIBROSURE - APOLIPOPROTEIN A-1,C FIBROSURE - APOLIPOPROTEIN A-1,"1869-7",42
11926201,ACH RECP.(MUSCLE) BINDING AB,ACH RECP.(MUSCLE)BINDING AB (LC),,42
11926229,REFLEX ADDED,REFLEX ADDED (LC),,42
11841380,"PNEUMOCOCCAL SEROTYPE 18C, IGG","PNEUMOCOCCAL SEROTYPE 18C*,IGG (CCH)","27395-3",42
11842260,INTERPRETATION (T-CELL PROFILE),INTERPRETATION (T-CELL PROFILE) (CCH),,42
11843380,"PNEUMOCOCCAL SEROTYPE 12F, IGG","PNEUMOCOCCAL SEROTYPE 12F, IGG (CCH)","27374-8",42
11844380,"PNEUMOCOCCAL SEROTYPE 1, IGG","PNEUMOCOCCAL SEROTYPE 1, IGG (CCH)","27092-6",42
11844382,"PNEUMOCOCCAL SEROTYPE 7F, IGG","PNEUMOCOCCAL SEROTYPE 7F, IGG (CCH)","25296-5",42
15770003,"Zika Virus by PCR, Blood","Zika Virus by PCR, Blood",,42
171284,"HYDROXYPROGESTERONE, 17- ALPHA-","HYDROXYPROGESTERONE, 17- ALPHA-",,42
227664,Time Drawn (PN).,Time Drawn (PN) PAH,,42
171950,U MYOGLOBIN,U MYOGLOBIN,,42
232952,MR Cardiac Morph + Function W/ INJ,MR Cardiac Morph + Function W/ INJ HUP,,42
1411122,NEISSERIA GONORROHOEAE BY PCR,"Q DONOR, N. GONORRHOEAE, TMA",,42
2855003,GASTRIC PARIETAL CELL AB,Q GASTRIC PARIETAL CELL AB,,42
2857003,"ANA, IFA PATTERN","Q ANA, IFA PATTERN",,42
2860003,MITOCHONDRIAL AB,Q MITOCHONDRIAL AB,,42
1413071,"Q COCCIDIOIDES ANTIBODY, CF","Q COCCIDIOIDES ANTIBODY, CF",,42
9655003,C FIBROSURE - NECROINFLAMM. ACTIVITY SCORE,C FIBROSURE - NECROINFLAMM. ACTIVITY SCORE,,42
9655006,C FIBROSURE - LIMITATIONS,C FIBROSURE - LIMITATIONS,"8251-1",42
9656005,"C FIBROSURE - ALPHA 2-MACROGLOBULINS, QN","C FIBROSURE - ALPHA 2-MACROGLOBULINS, QN","1835-8",42
9738005,HCV RNA IU/ML,HCV RNA IU/ML,,42
11913065,IMMUNOGLOBULIN M,IMMUNOGLOBULIN M (Q),,42
11919545,"VITAMIN D, 1, 25-DIHYDROXY","VITAMIN D, 1, 25-DIHYDROXY (LC)",,42
11924717,P-HEMOGLOBIN,"HEMOGLOBIN, FREE, PLASMA (LC)",,42
11930194,"ANTI-NEURONAL NUCL. AB, TYPE 1","ANTI-NEURONAL NUCL. AB, TYPE 1 (LC)",,42
11841382,"PNEUMOCOCCAL SEROTYPE 9V, IGG","PNEUMOCOCCAL SEROTYPE 9V*, IGG (CCH)","30153-1",42
11844257,% NATURAL KILLER CELLS,% NATURAL KILLER CELLS (CCH),"32519-1",42
11845382,"PNEUMOCOCCAL SEROTYPE 6B, IGG","PNEUMOCOCCAL SEROTYPE 6B, IGG (CCH)","27118-9",42
13434005,"Rifampin - Time/Date, Last Dose","Rifampin - Time/Date, Last Dose",,42
13435004,Rifampin - Comment,Rifampin - Comment,,42
18035020,LEFT OUTFLOW PSV HD,LEFT OUTFLOW PSV HD,,42
159549,PLATELET AGGREGATION ADP,C PLATELET AGGREGATION,"5992-3",42
165207,ENTAMOEBA HISTOLYTIC,C ENTAMOEBA HISTOLYTIC,"9522-4",42
229740,IRPCTT,UNKNOWN item template,,42
231632,Upper GI Small w Bowel Series PMC,Upper GI Small w Bowel Series PMC,,42
237207,Upper GI Double Contrast PMC,Upper GI Double Contrast PMC,,42
160613,NRVARLYMPHDD,NRVARLYMPHDD,,42
4857919,Pre Ab Scrn Interp,Pre Antibody Screen ECHO Interpretation,,42
9656004,C FIBROSURE - FIBROSIS SCORING,C FIBROSURE - FIBROSIS SCORING,,42
11926199,"ANTI-NEURONAL NUCL. AB, TYPE 2","ANTI-NEURONAL NUCL. AB, TYPE 2 (LC)",,42
11926200,"AMPHIPHYSIN AB, S","AMPHIPHYSIN AB, S (LC)",,42
11927201,"PURKINJE CELL CYTOP. AB, TYPE 2","PURKINJE CELL CYTOP.AB, TYPE 2 (LC)",,42
11929195,"ANTI-NEURONAL NUCL. AB, TYPE 3","ANTI-NEURONAL NUCL. AB, TYPE 3 (LC)",,42
11841260,ABSOLUTE NATURAL KILLER CELLS,ABSOLUTE NATURAL KILLER CELLS (CCH),"20604-5",42
11841381,"PNEUMOCOCCAL SEROTYPE 5, IGG","PNEUMOCOCCAL SEROTYPE 5, IGG (CCH)","31183-7",42
4856643,Iodide,Iodide,"59697-3",42
8526006,C %O2HB,C %O2HB,,42
9655004,C FIBROSURE - HAPTOGLOBIN,C FIBROSURE - HAPTOGLOBIN,"4542-7",42
9656007,C FIBROSURE - NECROINFLAMM. ACTIV. SCORING,C FIBROSURE - NECROINFLAMM. ACTIV. SCORING,"48792-6",42
11918408,CLINICAL INDICATION,CLINICAL INDICATION (Q),,42
11928074,INTERPRETIVE COMMENTS,INTERPRETIVE COMMENTS (LC),,42
11928199,"ACHR GANGLIONIC NEURONAL AB, S","ACHR GANGLIONIC NEURONAL AB, S (LC)",,42
11930195,PURKINJE CELL CYTOP. AB TYPE TR,PURKINJE CELL CYTOP.AB TYPE TR (LC),,42
11842382,"PNEUMOCOCCAL SEROTYPE 4, IGG","PNEUMOCOCCAL SEROTYPE 4, IGG (CCH)","27094-2",42
11843257,ABSOLUTE CD19,ABSOLUTE CD19 (CCH),"15195-1",42
11921282,COMMENT,COMMENT (LC),,42
13431007,Rifampin - Dose,Rifampin - Dose,,42
164193,PLATELET AGGREGATION COLLAGEN,C PLATELET AGGREGATION,"5995-6",42
170620,TOT AMI,TOT AMI,,42
239357,.Mammographic Tube Placement,Mammographic Tube Placement,,42
227692,Western Blot Interpretation.,Western Blot Interpretation PAH,,42
228634,Procainamide.,Procainamide PAH,,42
2694001,PT IGG,Q PT IGG,,42
2859003,RIBOSOMAL P PROTEIN AB,Q RIBOSOMAL P PROTE*,,42
4933013,DESMOGLEIN 3 ANTIBODY,Q DESMOGLEIN 3 ANTIBODY,,42
8524005,METHEMOGLOBIN,C METHEMOGLOBIN,,42
8982012,OP OT EVALUATION - WORK HARDENING AND CONDITIONING,OP OT EVALUATION - WORK HARDENING AND CONDITIONING *,,42
9657004,"C FIBROSURE - BILIRUBIN, TOTAL","C FIBROSURE - BILIRUBIN, TOTAL","1975-2",42
9658006,C FIBROSURE - COMMENT,C FIBROSURE - COMMENT,,42
10412003,TRAP.,TRAP.,,42
11844241,VITAMIN E(ALPHA-TOCOPHERAL),VITAMIN E(ALPHA-TOCOPHERAL) (CCH),"1823-4",42
11913091,PROLACTIN,PROLACTIN (Q),,42
11923879,"POSACONAZOLE, SERUM/PLASMA","POSACONAZOLE, SERUM/PLASMA (LC)",,42
11927203,"NEURONAL (V-G) K+ CHANNEL AB, S","NEURONAL (V-G) K+CHANNEL AB, S (LC)",,42
11928200,ANTI-GLIAL NUCLEAR AB TYPE 1,ANTI-GLIAL NUCLEAR AB TYPE 1 (LC),,42
11842383,"PNEUMOCOCCAL SEROTYPE 9N, IGG","PNEUMOCOCCAL SEROTYPE 9N, IGG (CCH)","27392-0",42
11843381,"PNEUMOCOCCAL SEROTYPE 3, IGG","PNEUMOCOCCAL SEROTYPE 3, IGG (CCH)","27096-7",42
11845381,"PNEUMOCOCCAL SEROTYPE 19F, IGG","PNEUMOCOCCAL SEROTYPE 19F*,IGG (CCH)","27390-4",42
15767007,"Zika Virus, Blood Source","Zika Virus, Blood, Source",,42
18309010,UPHS CV RIGHT DISTAL ULNAR ARTERY PSV,UPHS CV RIGHT DISTAL ULNAR ARTERY PSV,,42
18035231,LBASAPFAM,LEFT BASC AP FA MID,,42
228596,Linezolid,Linezolid MIC - PAH,,42
234897,Start of Treatment,Start of Treatment PAH,,42
