value,count,OBO,status,molent,ion,specimen,specimen_OBO,units,other details,indirect,direct,notes,24,POC,total
AFPNP,1,,,,,,,,,,,,#VALUE!,,
Aldo/Renin Cal,1,,,,,,,,,,,,#VALUE!,,
Alk Phos Bone,1,,,,,,,,,,,,#VALUE!,,
Alk Phos Bone Sp,1,,,,,,,,,,,,#VALUE!,,
Alk Phos Liver,1,,,,,,,,,,,,#VALUE!,,
Alk Phos Other,1,,,,,,,,,,,,#VALUE!,,
Alpha 1 Antitrypsin St ELISA,1,,,,,,,,,,,,#VALUE!,,
AMYLASE,1,,,,,,,,,,,,#VALUE!,,
Amylase BF,1,,,,,,,,,,,,#VALUE!,,
Antithromb III,1,,,,,,,,,,,,#VALUE!,,
APC,1,,,,,,,,,,,,#VALUE!,,
BICARBONATE,1,,,,,,,,,,,,#VALUE!,,
Bilirubin Conj,1,,,,,,,,,,,,#VALUE!,,
Bilirubin Uncon,1,,,,,,,,,,,,#VALUE!,,
BODY SURFACE AREA,1,,,,,,,,,,,,#VALUE!,,
Body Temp.,1,,,,,,,,,,,,#VALUE!,,
C Telopeptide.,1,,,,,,,,,,,,#VALUE!,,
C TIBC,1,,,,,,,,,,,,#VALUE!,,
CA 125,1,,,,,,,,,,,,#VALUE!,,
Chem CSF Tube No.,1,,,,,,,,,,,,#VALUE!,,
CirrhoMeter Patient Score,1,,,,,,,,,,,,#VALUE!,,
CMV DNA QUANTITATIVE,1,,,,,,,,,,,,#VALUE!,,
COMPLEMENT C4 FRACTI,1,,,,,,,,,,,,#VALUE!,,
Conjugated Bilirubin,1,,,,,,,,,,,,#VALUE!,,
CPRA CLASS I,1,,,,,,,,,,,,#VALUE!,,
CPRA CLASS II,1,,,,,,,,,,,,#VALUE!,,
Cr Clearance,1,,,,,,,,,,,,#VALUE!,,
CSEBHR,1,,,,,,,,,,,,#VALUE!,,
CSEPHR,1,,,,,,,,,,,,#VALUE!,,
CSEPPHR,1,,,,,,,,,,,,#VALUE!,,
CSETHR,1,,,,,,,,,,,,#VALUE!,,
CYCLIC CITRUL PEPTID,1,,,,,,,,,,,,#VALUE!,,
D-Dimer - HUP,1,,,,,,,,,,,,#VALUE!,,
Delta Bilirubin,1,,,,,,,,,,,,#VALUE!,,
DLCO UNCORR %PRED,1,,,,,,,,,,,,#VALUE!,,
DLCO UNCORR ACTUAL,1,,,,,,,,,,,,#VALUE!,,
DLCO/VA % PRED,1,,,,,,,,,,,,#VALUE!,,
DLCO/VA PRE,1,,,,,,,,,,,,#VALUE!,,
EBV AB TO EARLY ANTI,1,,,,,,,,,,,,#VALUE!,,
EBV ANTI-NUCLEAR AB,1,,,,,,,,,,,,#VALUE!,,
ERV %PRED,1,,,,,,,,,,,,#VALUE!,,
ERV ACTUAL,1,,,,,,,,,,,,#VALUE!,,
F2.g.20210G>A (Normal Temperature),1,,,,,,,,,,,,#VALUE!,,
F5.c.1601G>A (Normal Temperature),1,,,,,,,,,,,,#VALUE!,,
Factor VIII,1,,,,,,,,,,,,#VALUE!,,
FEF25-75%(L/SEC),1,,,,,,,,,,,,#VALUE!,,
FEV1/FVC(%) % PRED,1,,,,,,,,,,,,#VALUE!,,
FEV1/SVC PRE ACTUAL,1,,,,,,,,,,,,#VALUE!,,
Fibrinogen Level,1,,,,,,,,,,,,#VALUE!,,
FibroMeter Ferritin,1,,,,,,,,,,,,#VALUE!,,
Fibrometer Prothrombin Index,1,,,,,,,,,,,,#VALUE!,,
FibroMeter Weight (lbs),1,,,,,,,,,,,,#VALUE!,,
FibroS. GGT,1,,,,,,,,,,,,#VALUE!,,
FibroSure P5P,1,,,,,,,,,,,,#VALUE!,,
FibroSure score,1,,,,,,,,,,,,#VALUE!,,
Fluconazole,1,,,,,,,,,,,,#VALUE!,,
Fluid Basophil,1,,,,,,,,,,,,#VALUE!,,
Fluid Eosinophil,1,,,,,,,,,,,,#VALUE!,,
Fluid Lymph,1,,,,,,,,,,,,#VALUE!,,
Fluid Mesothelial,1,,,,,,,,,,,,#VALUE!,,
Fluid Monocyte,1,,,,,,,,,,,,#VALUE!,,
Fluid Other Cell Type,1,,,,,,,,,,,,#VALUE!,,
Fluid Seg,1,,,,,,,,,,,,#VALUE!,,
Free PSA,1,,,,,,,,,,,,#VALUE!,,
FREE T4 INDEX (T7),1,,,,,,,,,,,,#VALUE!,,
FREE TESTOSTERONE (LC),1,,,,,,,,,,,,#VALUE!,,
G6PD Qnt,1,,,,,,,,,,,,#VALUE!,,
GLOBAL FLOWRES,1,,,,,,,,,,,,#VALUE!,,
GLOBAL RLFOW,1,,,,,,,,,,,,#VALUE!,,
GLOBAL SFLOW,1,,,,,,,,,,,,#VALUE!,,
H pylori IgG,1,,,,,,,,,,,,#VALUE!,,
HCG SERUM,1,,,,,,,,,,,,#VALUE!,,
HCV Raw,1,,,,,,,,,,,,#VALUE!,,
HEIGHT FEET,1,,,,,,,,,,,,#VALUE!,,
HEIGHT INCHES,1,,,,,,,,,,,,#VALUE!,,
Heparin Lvl,1,,,,,,,,,,,,#VALUE!,,
HEPC GENOTYPING RESU,1,,,,,,,,,,,,#VALUE!,,
HGB (ABG),1,,,,,,,,,,,,#VALUE!,,
Hgb Calc,1,,,,,,,,,,,,#VALUE!,,
HHEPRN,1,,,,,,,,,,,,#VALUE!,,
HIT Result,1,,,,,,,,,,,,#VALUE!,,
HYALINE CASTS,1,,,,,,,,,,,,#VALUE!,,
IgE,1,,,,,,,,,,,,#VALUE!,,
IGG EBV CAPSID,1,,,,,,,,,,,,#VALUE!,,
IgG1,1,,,,,,,,,,,,#VALUE!,,
IgG2,1,,,,,,,,,,,,#VALUE!,,
IgG3,1,,,,,,,,,,,,#VALUE!,,
IgG4,1,,,,,,,,,,,,#VALUE!,,
IGM EBV CAPSID,1,,,,,,,,,,,,#VALUE!,,
IMMUNOGLOBULIN E,1,,,,,,,,,,,,#VALUE!,,
InflaMeter Patient Score,1,,,,,,,,,,,,#VALUE!,,
INITIAL SAO2,1,,,,,,,,,,,,#VALUE!,,
INR.,1,,,,,,,,,,,,#VALUE!,,
Ionized Calcium (CAION),1,,,,,,,,,,,,#VALUE!,,
IRON BINDING CAPACITY,1,,,,,,,,,,,,#VALUE!,,
IRON SATURATION,1,,,,,,,,,,,,#VALUE!,,
LAD FLOWRES,1,,,,,,,,,,,,#VALUE!,,
LAD RFLOW,1,,,,,,,,,,,,#VALUE!,,
LAD SFLOW,1,,,,,,,,,,,,#VALUE!,,
Large Gran Lymph Man,1,,,,,,,,,,,,#VALUE!,,
LCCADDIAS,1,,,,,,,,,,,,#VALUE!,,
LCCADSYS,1,,,,,,,,,,,,#VALUE!,,
LCCAMDIA,1,,,,,,,,,,,,#VALUE!,,
LCCAMSYS,1,,,,,,,,,,,,#VALUE!,,
LCCAPDIAS,1,,,,,,,,,,,,#VALUE!,,
LCCAPSYS,1,,,,,,,,,,,,#VALUE!,,
LCX FLOWRES,1,,,,,,,,,,,,#VALUE!,,
LCX RFLOW,1,,,,,,,,,,,,#VALUE!,,
LCX SFLOW,1,,,,,,,,,,,,#VALUE!,,
LECASYS,1,,,,,,,,,,,,#VALUE!,,
LICACCA,1,,,,,,,,,,,,#VALUE!,,
LICADDIAS,1,,,,,,,,,,,,#VALUE!,,
LICADSYS,1,,,,,,,,,,,,#VALUE!,,
LICAMDIAS,1,,,,,,,,,,,,#VALUE!,,
LICAMSYS,1,,,,,,,,,,,,#VALUE!,,
LICAPDIAS,1,,,,,,,,,,,,#VALUE!,,
LICAPSYS,1,,,,,,,,,,,,#VALUE!,,
LOG 10 CMV (COPIES /,1,,,,,,,,,,,,#VALUE!,,
Log HCV,1,,,,,,,,,,,,#VALUE!,,
LOWEST SAO2,1,,,,,,,,,,,,#VALUE!,,
LV RELATIVE WALL THICKNESS MM,1,,,,,,,,,,,,#VALUE!,,
LVERTSYS,1,,,,,,,,,,,,#VALUE!,,
Mass Specific Gravity,1,,,,,,,,,,,,#VALUE!,,
MEAN PLATELET VOLUME,1,,,,,,,,,,,,#VALUE!,,
METAMYELOCYTES,1,,,,,,,,,,,,#VALUE!,,
MIT QNT,1,,,,,,,,,,,,#VALUE!,,
MITOGEN-NIL,1,,,,,,,,,,,,#VALUE!,,
mL Transfused,1,,,,,,,,,,,,#VALUE!,,
MPO Ab,1,,,,,,,,,,,,#VALUE!,,
MR EROA VTI,1,,,,,,,,,,,,#VALUE!,,
MRMAXVEL,1,,,,,,,,,,,,#VALUE!,,
MRPISAEROA,1,,,,,,,,,,,,#VALUE!,,
MRVTI,1,,,,,,,,,,,,#VALUE!,,
MVRV,1,,,,,,,,,,,,#VALUE!,,
MYELOPEROXIDASE ANTI,1,,,,,,,,,,,,#VALUE!,,
NI activ.scoring,1,,,,,,,,,,,,#VALUE!,,
NIL QNT,1,,,,,,,,,,,,#VALUE!,,
Normal Cell ALK (% Cells),1,,,,,,,,,,,,#VALUE!,,
Normal Cell ALK (Number of Cells),1,,,,,,,,,,,,#VALUE!,,
nr5Trop,1,,,,,,,,,,,,#VALUE!,,
O2SAT CALC,1,,,,,,,,,,,,#VALUE!,,
OSMOLALITY SERUM,1,,,,,,,,,,,,#VALUE!,,
PA END DIAS PRESSURE,1,,,,,,,,,,,,#VALUE!,,
PA END DIAS VELOCITY,1,,,,,,,,,,,,#VALUE!,,
Parvo B19 IgG,1,,,,,,,,,,,,#VALUE!,,
Parvo B19 IgM,1,,,,,,,,,,,,#VALUE!,,
pH .,1,,,,,,,,,,,,#VALUE!,,
PH TEMP CORRECTED,1,,,,,,,,,,,,#VALUE!,,
PISAR,1,,,,,,,,,,,,#VALUE!,,
PLAC,1,,,,,,,,,,,,#VALUE!,,
Procalcitonin,1,,,,,,,,,,,,#VALUE!,,
PROCALCITONIN,1,,,,,,,,,,,,#VALUE!,,
Prot S Imm,1,,,,,,,,,,,,#VALUE!,,
Protein C Func,1,,,,,,,,,,,,#VALUE!,,
"Protein, CSF",1,,,,,,,,,,,,#VALUE!,,
PT (Prothrombin Time) / INR,1,,,,,,,,,,,,#VALUE!,,
PT TEMP,1,,,,,,,,,,,,#VALUE!,,
PT WB,1,,,,,,,,,,,,#VALUE!,,
PVPKVEL,1,,,,,,,,,,,,#VALUE!,,
RBC (UA),1,,,,,,,,,,,,#VALUE!,,
RCA FLOWRES,1,,,,,,,,,,,,#VALUE!,,
RCA RFLOW,1,,,,,,,,,,,,#VALUE!,,
RCA SFLOW,1,,,,,,,,,,,,#VALUE!,,
RCCADDIAS,1,,,,,,,,,,,,#VALUE!,,
RCCADSYS,1,,,,,,,,,,,,#VALUE!,,
RCCAMSYS,1,,,,,,,,,,,,#VALUE!,,
RCCAPDIAS,1,,,,,,,,,,,,#VALUE!,,
RCCAPSYS,1,,,,,,,,,,,,#VALUE!,,
RECASYS,1,,,,,,,,,,,,#VALUE!,,
REF LAB NUMBER,1,,,,,,,,,,,,#VALUE!,,
Reptilase Test,1,,,,,,,,,,,,#VALUE!,,
Rheumatoid Factor,1,,,,,,,,,,,,#VALUE!,,
RHEUMATOID FACTOR AS,1,,,,,,,,,,,,#VALUE!,,
RVERTSYS,1,,,,,,,,,,,,#VALUE!,,
SAO2,1,,,,,,,,,,,,#VALUE!,,
SEDIMENTATION RATE WESTERGREN,1,,,,,,,,,,,,#VALUE!,,
Serine PR-3 Ab,1,,,,,,,,,,,,#VALUE!,,
SERINE PROTEASE 3 AN,1,,,,,,,,,,,,#VALUE!,,
STRESS EJECTION FRACTION,1,,,,,,,,,,,,#VALUE!,,
STRESS END DIASTOLIC VOLUME,1,,,,,,,,,,,,#VALUE!,,
STRESS END SYSTOLIC VOLUME,1,,,,,,,,,,,,#VALUE!,,
SVC %PRED,1,,,,,,,,,,,,#VALUE!,,
SVC ACTUAL,1,,,,,,,,,,,,#VALUE!,,
TB1 QNT,1,,,,,,,,,,,,#VALUE!,,
TB2 QNT,1,,,,,,,,,,,,#VALUE!,,
Testoster Free,1,,,,,,,,,,,,#VALUE!,,
TESTOSTERONE,1,,,,,,,,,,,,#VALUE!,,
TGV %PRED,1,,,,,,,,,,,,#VALUE!,,
TGV ACTUAL,1,,,,,,,,,,,,#VALUE!,,
TSI,1,,,,,,,,,,,,#VALUE!,,
TTI,1,,,,,,,,,,,,#VALUE!,,
UCA mg per dL,1,,,,,,,,,,,,#VALUE!,,
Unconjugated Bilirubin,1,,,,,,,,,,,,#VALUE!,,
UPHS CV RIGHT CCA MID EDV,1,,,,,,,,,,,,#VALUE!,,
UPHS CV STRESS PRED PK HR,1,,,,,,,,,,,,#VALUE!,,
UPHS CV STRESS PREDICTED MET,1,,,,,,,,,,,,#VALUE!,,
"Urea Nitrogen, Serum or Plasma",1,,,,,,,,,,,,#VALUE!,,
Varicella IgG,1,,,,,,,,,,,,#VALUE!,,
VN,1,,,,,,,,,,,,#VALUE!,,
VZV Ab IgM CSF,1,,,,,,,,,,,,#VALUE!,,
WBC (UA),1,,,,,,,,,,,,#VALUE!,,
WEIGHT POUNDS,1,,,,,,,,,,,,#VALUE!,,
